#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10323E+04    0.38313E-01    0.00000E+00    0.28532E+01    0.49956E-07    0.31054E-02   -0.13598E-04
     3    0.97502E+03    0.55204E-01    0.00000E+00    0.33681E+01    0.60753E-07    0.31018E-02   -0.15597E-04
     4    0.92025E+03    0.54192E-01    0.00000E+00    0.33007E+01    0.70026E-07    0.30281E-02   -0.14447E-04
     5    0.87854E+03    0.41276E-01    0.00000E+00    0.29256E+01    0.78077E-07    0.29263E-02   -0.11295E-04
     6    0.84941E+03    0.25921E-01    0.00000E+00    0.24404E+01    0.85098E-07    0.28150E-02   -0.71985E-05
     7    0.83030E+03    0.14419E-01    0.00000E+00    0.19632E+01    0.91275E-07    0.27031E-02   -0.30980E-05
     8    0.81822E+03    0.82707E-02    0.00000E+00    0.15567E+01    0.96742E-07    0.25943E-02    0.29062E-06
     9    0.81260E+03    0.58988E-02    0.00000E+00    0.12499E+01    0.10161E-06    0.24889E-02    0.25397E-05
    10    0.81066E+03    0.51032E-02    0.00000E+00    0.10448E+01    0.10594E-06    0.23897E-02    0.35240E-05
    11    0.81165E+03    0.45296E-02    0.00000E+00    0.93282E+00    0.10984E-06    0.22990E-02    0.33797E-05
    12    0.81599E+03    0.39802E-02    0.00000E+00    0.89519E+00    0.11332E-06    0.22151E-02    0.24158E-05
    13    0.82214E+03    0.33472E-02    0.00000E+00    0.90956E+00    0.11643E-06    0.21369E-02    0.10541E-05
    14    0.82936E+03    0.31251E-02    0.00000E+00    0.95347E+00    0.11922E-06    0.20636E-02   -0.30392E-06
    15    0.83778E+03    0.32218E-02    0.00000E+00    0.10121E+01    0.12173E-06    0.19942E-02   -0.13807E-05
    16    0.84757E+03    0.34075E-02    0.00000E+00    0.10746E+01    0.12398E-06    0.19276E-02   -0.19796E-05
    17    0.85857E+03    0.37086E-02    0.00000E+00    0.11352E+01    0.12600E-06    0.18640E-02   -0.20952E-05
    18    0.86984E+03    0.40413E-02    0.00000E+00    0.11922E+01    0.12782E-06    0.18033E-02   -0.17929E-05
    19    0.88261E+03    0.44713E-02    0.00000E+00    0.12475E+01    0.12944E-06    0.17453E-02   -0.12394E-05
    20    0.89553E+03    0.51268E-02    0.00000E+00    0.13012E+01    0.13087E-06    0.16898E-02   -0.62185E-06
    21    0.90885E+03    0.59696E-02    0.00000E+00    0.13565E+01    0.13215E-06    0.16372E-02   -0.11801E-06
    22    0.92265E+03    0.70050E-02    0.00000E+00    0.14156E+01    0.13328E-06    0.15877E-02    0.13311E-06
    23    0.93673E+03    0.82217E-02    0.00000E+00    0.14791E+01    0.13428E-06    0.15411E-02    0.13283E-06
    24    0.95119E+03    0.95782E-02    0.00000E+00    0.15462E+01    0.13515E-06    0.14967E-02   -0.76106E-07
    25    0.96602E+03    0.11100E-01    0.00000E+00    0.16137E+01    0.13590E-06    0.14545E-02   -0.42340E-06
    26    0.98106E+03    0.12784E-01    0.00000E+00    0.16789E+01    0.13655E-06    0.14144E-02   -0.82725E-06
    27    0.99650E+03    0.14615E-01    0.00000E+00    0.17380E+01    0.13709E-06    0.13761E-02   -0.11858E-05
    28    0.10122E+04    0.16597E-01    0.00000E+00    0.17887E+01    0.13755E-06    0.13393E-02   -0.14067E-05
    29    0.10282E+04    0.18729E-01    0.00000E+00    0.18304E+01    0.13793E-06    0.13038E-02   -0.14549E-05
    30    0.10444E+04    0.21022E-01    0.00000E+00    0.18620E+01    0.13822E-06    0.12693E-02   -0.13298E-05
    31    0.10608E+04    0.23506E-01    0.00000E+00    0.18842E+01    0.13844E-06    0.12361E-02   -0.11120E-05
    32    0.10774E+04    0.26202E-01    0.00000E+00    0.18978E+01    0.13859E-06    0.12044E-02   -0.89002E-06
    33    0.10943E+04    0.29118E-01    0.00000E+00    0.19026E+01    0.13868E-06    0.11740E-02   -0.70380E-06
    34    0.11114E+04    0.32268E-01    0.00000E+00    0.18993E+01    0.13872E-06    0.11446E-02   -0.58099E-06
    35    0.11287E+04    0.35653E-01    0.00000E+00    0.18895E+01    0.13870E-06    0.11165E-02   -0.54888E-06
    36    0.11462E+04    0.39278E-01    0.00000E+00    0.18737E+01    0.13862E-06    0.10897E-02   -0.62317E-06
    37    0.11638E+04    0.43144E-01    0.00000E+00    0.18497E+01    0.13850E-06    0.10641E-02   -0.77376E-06
    38    0.11816E+04    0.47257E-01    0.00000E+00    0.18171E+01    0.13834E-06    0.10394E-02   -0.95832E-06
    39    0.11997E+04    0.51610E-01    0.00000E+00    0.17750E+01    0.13813E-06    0.10156E-02   -0.11308E-05
    40    0.12179E+04    0.56201E-01    0.00000E+00    0.17223E+01    0.13789E-06    0.99254E-03   -0.12443E-05
    41    0.12365E+04    0.61031E-01    0.00000E+00    0.16579E+01    0.13761E-06    0.97015E-03   -0.12651E-05
    42    0.12550E+04    0.66116E-01    0.00000E+00    0.15807E+01    0.13730E-06    0.94839E-03   -0.12123E-05
    43    0.12738E+04    0.71473E-01    0.00000E+00    0.14903E+01    0.13696E-06    0.92730E-03   -0.11175E-05
    44    0.12926E+04    0.77105E-01    0.00000E+00    0.13867E+01    0.13659E-06    0.90687E-03   -0.10125E-05
    45    0.13117E+04    0.83023E-01    0.00000E+00    0.12703E+01    0.13619E-06    0.88711E-03   -0.92897E-06
    46    0.13311E+04    0.89240E-01    0.00000E+00    0.11397E+01    0.13577E-06    0.86804E-03   -0.89110E-06
    47    0.13506E+04    0.95749E-01    0.00000E+00    0.99585E+00    0.13532E-06    0.84962E-03   -0.89383E-06
    48    0.13701E+04    0.10254E+00    0.00000E+00    0.84340E+00    0.13486E-06    0.83181E-03   -0.92483E-06
    49    0.13898E+04    0.10960E+00    0.00000E+00    0.68622E+00    0.13437E-06    0.81457E-03   -0.97179E-06
    50    0.14099E+04    0.11689E+00    0.00000E+00    0.52143E+00    0.13386E-06    0.79788E-03   -0.10224E-05
    51    0.14302E+04    0.12437E+00    0.00000E+00    0.34459E+00    0.13334E-06    0.78169E-03   -0.10661E-05
    52    0.14508E+04    0.13213E+00    0.00000E+00    0.15058E+00    0.13280E-06    0.76598E-03   -0.10984E-05
    53    0.14715E+04    0.14031E+00    0.00000E+00   -0.64013E-01    0.13225E-06    0.75071E-03   -0.11165E-05
    54    0.14921E+04    0.14893E+00    0.00000E+00   -0.29465E+00    0.13168E-06    0.73587E-03   -0.11175E-05
    55    0.15128E+04    0.15795E+00    0.00000E+00   -0.53668E+00    0.13110E-06    0.72143E-03   -0.10986E-05
    56    0.15339E+04    0.16723E+00    0.00000E+00   -0.79156E+00    0.13051E-06    0.70737E-03   -0.10596E-05
    57    0.15552E+04    0.17668E+00    0.00000E+00   -0.10589E+01    0.12990E-06    0.69369E-03   -0.10099E-05
    58    0.15769E+04    0.18629E+00    0.00000E+00   -0.13392E+01    0.12929E-06    0.68038E-03   -0.96190E-06
    59    0.15987E+04    0.19610E+00    0.00000E+00   -0.16327E+01    0.12867E-06    0.66745E-03   -0.92752E-06
    60    0.16207E+04    0.20618E+00    0.00000E+00   -0.19386E+01    0.12804E-06    0.65492E-03   -0.91891E-06
    61    0.16431E+04    0.21660E+00    0.00000E+00   -0.22557E+01    0.12741E-06    0.64276E-03   -0.94364E-06
