#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_857_0002
      1     406.45871 2.1155631e-09 0.96781822 67.008228 0.022257651 0.12019538 0.074960843 0.68121183 3.0519061     -22.569411        -22.569411 858.05624                  858.05624
      2     406.17428  2.107626e-09 0.96736612 67.021618 0.022294382  0.1202024 0.073072217 0.68124178 3.0481473     -22.569411        -22.569411 857.48737                  857.48737
      1     405.92902 2.1200123e-09  0.9705737 67.620521  0.02238923 0.11905989 0.077163369 0.68915436  3.054007     -22.569411        -22.569411 856.99686                  856.99686
      4     405.94291 2.1294794e-09 0.97202916 67.836184 0.022391046 0.11843893 0.080249025 0.69247313 3.0584626     -22.569411        -22.569411 857.02464                  857.02464
      2     406.02384 2.1341587e-09 0.97101727 67.753174 0.022428182 0.11877229 0.080730802 0.69091202 3.0606576     -22.569411        -22.569411 857.18651                  857.18651
      3      405.9497 2.1304886e-09 0.97110734 67.705376 0.022431006  0.1188686 0.079938605  0.6902592 3.0589364     -22.569411        -22.569411 857.03823                  857.03823
      8     405.95313 2.1300669e-09 0.97118668 67.714198 0.022430617 0.11884425 0.079874685 0.69039386 3.0587385     -22.569411        -22.569411 857.04508                  857.04508
      1     406.38582 2.1392338e-09 0.97383258 68.439526 0.022522184 0.11703518 0.084037577 0.70058831 3.0630328     -22.569411        -22.569411 857.91046                  857.91046
      1     406.45094 2.1315691e-09 0.97377436 68.440167 0.022555033 0.11710861 0.082393864 0.70036702 3.0594435     -22.569411        -22.569411 858.04071                  858.04071
      4     406.44781 2.1312994e-09 0.97377753 68.437706 0.022554208 0.11711145 0.082333714 0.70034117 3.0593169     -22.569411        -22.569411 858.03445                  858.03445
      1     406.58939 2.0791622e-09 0.97182276 67.807115 0.022484231    0.11852 0.068925473 0.69183041 3.0345501     -22.569411        -22.569411 858.31761                  858.31761
      3     406.99654 2.0245676e-09 0.96782139 67.334003  0.02246874 0.11996435 0.053212996 0.68433306 3.0079412     -22.569411        -22.569411  859.1319                   859.1319
     13     407.26142 2.0222325e-09 0.96759948 67.319453 0.022471213 0.12000123 0.052605197 0.68410975 3.0067872     -22.569411        -22.569411 859.66167                  859.66167
      1      407.8101 2.0223774e-09 0.96923746  67.32133 0.022485862 0.12001166 0.053264587 0.68407203 3.0068588     -22.569411        -22.569411 860.75901                  860.75901
      3     406.26066 2.0464002e-09 0.96947576 67.271786 0.022438655 0.12006179 0.058676663 0.68360007 3.0186674     -22.569411        -22.569411 857.66015                  857.66015
      8     406.77905 2.0224156e-09 0.96794066 67.085675 0.022428436  0.1204549 0.052517887 0.68099132 3.0068777     -22.569411        -22.569411 858.69692                  858.69692
      3     405.67556 2.0442559e-09 0.96900606 67.334982 0.022432904 0.11983685 0.057976961 0.68470249  3.017619     -22.569411        -22.569411 856.48994                  856.48994
      5     406.14124 2.0522309e-09 0.97023365 67.633546 0.022512225 0.11922249 0.060693807 0.68864972 3.0215125     -22.569411        -22.569411  857.4213                   857.4213
      7     405.93809 2.1124567e-09 0.97051534 67.496483  0.02239778 0.11934666  0.07517931  0.6873626 3.0504367     -22.569411        -22.569411   857.015                    857.015
      1     410.85264 2.0526449e-09 0.97130134 67.395738 0.022322502 0.11984263 0.059633267 0.68550105 3.0217143     -22.569411        -22.569411 866.84411                  866.84411
 3 411.53955 2.0584744e-09 0.97161981  67.40566  0.02232118 0.11980985 0.061084829 0.68566867 3.0245502 -22.569411 -22.569411 868.21793 868.21793
 2 411.48397 2.0559406e-09 0.97153222 67.389881  0.02232354 0.11985961 0.060423836 0.68540668 3.0233185 -22.569411 -22.569411 868.10675 868.10675
 3 411.02042 2.1316742e-09 0.97356874 68.491368 0.022700146 0.11747489 0.081222806 0.69972471 3.0594928 -22.569411 -22.569411 867.17966 867.17966
 2 406.77249 2.1173826e-09 0.97102694 68.145132 0.022614267 0.11792742 0.077641522 0.69587608 3.0527658 -22.569411 -22.569411 858.68381 858.68381
 8 407.01444 2.1764206e-09 0.96926049 67.969397 0.022553365  0.1185193  0.09026576 0.69315207 3.0802667 -22.569411 -22.569411 859.16771 859.16771
 2 407.56688 2.1845296e-09 0.96733745 67.518409 0.022484222 0.11952353 0.090821957 0.68698802 3.0839856 -22.569411 -22.569411 860.27258 860.27258
11  406.8279 2.1497601e-09 0.96653079 67.297039 0.022468373 0.12000489 0.082306931 0.68389749 3.0679413 -22.569411 -22.569411 858.79462 858.79462
 7 406.87575 2.1501704e-09 0.96658098 67.297734 0.022470234 0.12000177 0.082409803  0.6839068 3.0681322 -22.569411 -22.569411 858.89032 858.89032
 2 406.90021 2.1525363e-09  0.9666249 67.307746 0.022471461 0.12000223 0.082987999 0.68399711 3.0692319 -22.569411 -22.569411 858.93924 858.93924
 5 406.74841 2.1440408e-09  0.9676644 67.275672 0.022484943  0.1200398 0.081726813 0.68358294 3.0652774 -22.569411 -22.569411 858.63565 858.63565
 4 406.32611 2.1556976e-09 0.96863761 67.639799 0.022516122  0.1191586 0.085143903 0.68883842 3.0706995 -22.569411 -22.569411 857.79103 857.79103
 2 405.47612 2.0993273e-09 0.97002284 67.598656  0.02242637 0.11911401  0.07231133 0.68875353 3.0442021 -22.569411 -22.569411 856.09106 856.09106
19 406.37672 2.0914854e-09 0.97244115 68.164478 0.022487194 0.11763441 0.071656782 0.69695279 3.0404596 -22.569411 -22.569411 857.89227 857.89227
 2 406.37744  2.091114e-09 0.97244496 68.170352 0.022488539 0.11762203 0.071580195 0.69702877  3.040282 -22.569411 -22.569411 857.89369 857.89369
 7 407.27835  2.073557e-09 0.97310491 68.317193 0.022586346 0.11749213 0.067668465 0.69839853 3.0318506 -22.569411 -22.569411 859.69552 859.69552
 1 407.53483  2.077268e-09 0.97367636 68.303348 0.022541463 0.11736261 0.068741986 0.69865009 3.0336387 -22.569411 -22.569411 860.20848 860.20848
 2 407.53566 2.0761334e-09 0.97376393 68.233049 0.022537523 0.11754143 0.068417604 0.69765318 3.0330923 -22.569411 -22.569411 860.21013 860.21013
 2  407.3726 2.0737298e-09 0.97342587 68.178844 0.022534457 0.11766049 0.067700818  0.6969227 3.0319339 -22.569411 -22.569411 859.88403 859.88403
 1 407.06825 2.1002614e-09 0.96979465 67.869165  0.02261164 0.11855458 0.073095101 0.69204198 3.0446469 -22.569411 -22.569411 859.27533 859.27533
 1 408.14361 2.1193335e-09 0.97050687   68.3324 0.022535886 0.11711265 0.078881128 0.69945353 3.0536868 -22.569411 -22.569411 861.42604 861.42604
2 408.12919 2.1204215e-09 0.97048399 68.355677 0.022542291 0.11708901 0.079107451 0.69969507    3.0542 -22.569411 -22.569411 861.39721 861.39721
2  407.8366 2.0977258e-09 0.96854343 67.971207 0.022486582 0.11795527 0.072620188 0.69453379 3.0434389 -22.569411 -22.569411 860.81203 860.81203
1 407.28144 2.1216304e-09 0.96930415 68.172454 0.022562186 0.11765737 0.078214314 0.69681295   3.05477 -22.569411 -22.569411  859.7017  859.7017
6 407.50646 2.1301377e-09 0.97044645 68.302266 0.022555214 0.11725812 0.080813595 0.69883502 3.0587717 -22.569411 -22.569411 860.15175 860.15175
1 408.24734 2.1737663e-09 0.97350476 68.752275 0.022549391 0.11610709 0.092606528 0.70521201 3.0790464 -22.569411 -22.569411 861.63351 861.63351
2 408.23498 2.1600816e-09 0.97488516 68.914573 0.022605232 0.11583031 0.090341155 0.70706408 3.0727311 -22.569411 -22.569411 861.60878 861.60878
3 407.44518 2.1663658e-09  0.9753274 68.717183 0.022579863 0.11644185 0.091153513 0.70413738 3.0756361 -22.569411 -22.569411 860.02918 860.02918
3 407.83704 2.2185024e-09 0.97431969  68.67129 0.022572334 0.11670479  0.10257976 0.70320019 3.0994175 -22.569411 -22.569411 860.81289 860.81289
