#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_lgmca_0002
      6     416.93315 1.9515979e-09 0.95380364 65.863144 0.022275655 0.12345384 0.014031347 0.66247766 2.9712336     -22.569411        -22.569411 879.00511                    879.00511
      8     417.08127 1.9692028e-09 0.95490152 66.112521 0.022376037 0.12311042  0.01902583 0.66557517 2.9802139     -22.569411        -22.569411 879.30136                    879.30136
     25     416.87163 1.9640691e-09 0.95474734 66.082119 0.022372665 0.12318171 0.017739287 0.66511186 2.9776035     -22.569411        -22.569411 878.88208                    878.88208
      7     416.52592 1.9553587e-09 0.95544642  66.26868 0.022388675 0.12273775 0.016003941 0.66796926 2.9731588     -22.569411        -22.569411 878.19066                    878.19066
      6     419.96495  1.978058e-09 0.95643266 66.328118 0.022372722 0.12283592 0.021045732  0.6683772 2.9847007     -22.569411        -22.569411 885.06872                    885.06872
     12     418.19279 1.9596347e-09 0.95894346 66.661175 0.022401229 0.12193651 0.018075742 0.67364252 2.9753432     -22.569411        -22.569411  881.5244                     881.5244
      5     417.21317 1.9327849e-09 0.95522591 66.254246  0.02241082 0.12279294 0.010426819  0.6676484  2.961547     -22.569411        -22.569411 879.56515                    879.56515
     20     416.78235 1.9366055e-09 0.95695231 66.401838 0.022386172 0.12243952 0.011908602 0.66998166 2.9635218     -22.569411        -22.569411 878.70352                    878.70352
     13     416.94282 1.9487261e-09 0.95788959 66.478566 0.022345605 0.12216143 0.015041636 0.67146405  2.969761     -22.569411        -22.569411 879.02446                    879.02446
      3     417.20652 1.9571253e-09 0.95795838 66.557787 0.022352457 0.12197478  0.01716935 0.67265155 2.9740618     -22.569411        -22.569411 879.55187                    879.55187
      1     418.06336 1.9381998e-09 0.95949914 66.801348 0.022374611 0.12166069 0.013213594 0.67568846 2.9643447     -22.569411        -22.569411 881.26554                    881.26554
      3     418.67742  1.958361e-09 0.95888991 66.511622 0.022263752 0.12220244 0.017331819 0.67188285  2.974693     -22.569411        -22.569411 882.49367                    882.49367
      2     418.44791 1.9662149e-09 0.95882704 66.382266 0.022294551 0.12260579 0.019362634 0.66961761 2.9786954     -22.569411        -22.569411 882.03464                    882.03464
      3     418.38586  1.950527e-09 0.95748474 66.016583  0.02226415   0.123382 0.014708135 0.66423605 2.9706847     -22.569411        -22.569411 881.91054                    881.91054
      9     418.06217 1.9684892e-09 0.96067632 66.430952 0.022261363 0.12215783 0.021190511 0.67119199 2.9798514     -22.569411        -22.569411 881.26316                    881.26316
      1     418.13697 1.9746847e-09 0.96051237 66.418595 0.022261808 0.12220729 0.022579357 0.67095649 2.9829938     -22.569411        -22.569411 881.41276                    881.41276
      5     417.46806 1.9383724e-09 0.95515528 66.318973 0.022343405 0.12282433 0.011126715 0.66837875 2.9644337     -22.569411        -22.569411 880.07495                    880.07495
      8     417.62161 1.9472151e-09 0.95537218 66.355808 0.022350138  0.1227325  0.01327791 0.66894008 2.9689853     -22.569411        -22.569411 880.38205                    880.38205
      6     418.62063 1.9600216e-09 0.95515417 66.340471 0.022349562 0.12278398  0.01616998 0.66867132 2.9755406     -22.569411        -22.569411 882.38008                    882.38008
