#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_lgmca_0002
      4      1298.545 2.2832638e-09   0.955462 66.724637  0.02236223 0.12063156 0.095279527 0.67728166  3.128191     -22.569411        -22.569411 2642.2289                    2642.2289
      3     1298.4616 2.3341754e-09 0.95637819  67.35136 0.022445419 0.11927133  0.10774786  0.6860749 3.1502438     -22.569411        -22.569411  2642.062                     2642.062
      4     1298.4344 2.3393208e-09 0.95555769 67.303207 0.022404456  0.1192755  0.10907462 0.68570677 3.1524457     -22.569411        -22.569411 2642.0076                    2642.0076
      5     1298.4251 2.3395546e-09 0.95554189 67.299778 0.022404794 0.11928514  0.10911613  0.6856527 3.1525457     -22.569411        -22.569411  2641.989                     2641.989
      2     1298.3235 2.3378174e-09  0.9554025 67.262106 0.022400724 0.11937863  0.10865952 0.68510285 3.1518028     -22.569411        -22.569411 2641.7858                    2641.7858
      1      1299.752 2.3267084e-09 0.95190057 67.009264 0.022457021 0.12011588  0.10613565 0.68095472 3.1470397     -22.569411        -22.569411 2644.6429                    2644.6429
      1     1300.5378 2.3254749e-09 0.95179578 67.280776 0.022630517   0.120067  0.10552314 0.68324925 3.1465094     -22.569411        -22.569411 2646.2145                    2646.2145
      2     1299.2726 2.2837406e-09 0.95712839 67.653079 0.022582783 0.11916442 0.098195801  0.6888022 3.1283998     -22.569411        -22.569411  2643.684                     2643.684
      1     1300.0691 2.3249776e-09 0.95595184 67.471311  0.02246976 0.11967878  0.10676825 0.68624161 3.1462955     -22.569411        -22.569411  2645.277                     2645.277
      4     1298.7317 2.3161692e-09 0.95535118 67.588622 0.022507705 0.11939001  0.10451574 0.68787889 3.1424997     -22.569411        -22.569411 2642.6022                    2642.6022
      2     1298.4245 2.3053341e-09 0.95608911 67.745152 0.022620153  0.1194024   0.1017598 0.68904757 3.1378107     -22.569411        -22.569411 2641.9878                    2641.9878
      2     1300.3525 2.1992666e-09 0.94599685 65.856941 0.022566503 0.12401877 0.072313646 0.66044096  3.090709     -22.569411        -22.569411 2645.8438                    2645.8438
      1     1302.8391 1.9919163e-09 0.94304096 65.174614 0.022437856 0.12560708 0.021502876 0.64985754 2.9916822     -22.569411        -22.569411  2650.817                     2650.817
      3     1302.4053  2.028584e-09 0.93861395 64.863029 0.022404075 0.12625747 0.027962462 0.64501988 3.0099231     -22.569411        -22.569411 2649.9495                    2649.9495
      5     1303.6753 2.0179464e-09 0.93697938 64.387271 0.022354929 0.12739966 0.024131757 0.63711804 3.0046654     -22.569411        -22.569411 2652.4895                    2652.4895
      1     1301.8761 1.9994941e-09 0.93729286 64.173382 0.022210808 0.12763649 0.019782427 0.63446994 2.9954793     -22.569411        -22.569411 2648.8911                    2648.8911
      2      1300.683 1.9767166e-09 0.93872635 64.426883 0.022105291 0.12708019  0.01436899 0.63893521 2.9840223     -22.569411        -22.569411 2646.5049                    2646.5049
      7     1300.4294  1.974471e-09 0.93870003 64.446244 0.022109715 0.12705044 0.013963668  0.6392131 2.9828856     -22.569411        -22.569411 2645.9977                    2645.9977
      1     1300.4378 1.9739932e-09 0.93874997 64.442419  0.02211283 0.12707145 0.013844813 0.63911217 2.9826436     -22.569411        -22.569411 2646.0143                    2646.0143
      2     1301.0449 1.9711709e-09 0.93740148 64.257796 0.022107572  0.1275184  0.01246548 0.63596571 2.9812128     -22.569411        -22.569411 2647.2286                    2647.2286
1 1299.1638 1.9673821e-09  0.9425824  64.62508 0.022030437 0.12622969 0.013942993 0.64336216 2.9792889 -22.569411 -22.569411 2643.4665 2643.4665
2 1298.9336 1.9711922e-09 0.94257686 64.643164 0.022063929 0.12621538 0.015132803 0.64351578 2.9812236 -22.569411 -22.569411 2643.0061 2643.0061
1 1299.5462 1.9885981e-09  0.9415861 64.567197 0.022061154 0.12629374 0.018802272 0.64249513  2.990015 -22.569411 -22.569411 2644.2311 2644.2311
2 1299.5827 2.0092114e-09 0.94304472  65.08264 0.022094031  0.1250502 0.024925865 0.65099366 3.0003274 -22.569411 -22.569411 2644.3042 2644.3042
2 1300.3889 2.0179718e-09  0.9431534 65.165804 0.022106524 0.12485787 0.027018079 0.65230736  3.004678 -22.569411 -22.569411 2645.9167 2645.9167
6 1299.1777 1.9652722e-09 0.93953771 64.531504 0.021942113 0.12592024 0.013334151  0.6432823 2.9782159 -22.569411 -22.569411 2643.4942 2643.4942
1 1299.3131 1.9821037e-09 0.93969497 64.610196  0.02194993 0.12567522 0.017767847 0.64471891 2.9867439 -22.569411 -22.569411 2643.7649 2643.7649
1 1299.3293 1.9823808e-09 0.93972472  64.61775 0.021950873 0.12565648 0.017848681 0.64484461 2.9868837 -22.569411 -22.569411 2643.7973 2643.7973
7 1298.6657 1.9971756e-09 0.94113139 64.886863 0.022068414 0.12528326 0.022049104 0.64839174 2.9943191 -22.569411 -22.569411 2642.4703 2642.4703
1 1298.3745 2.0137287e-09 0.94483466 64.785995 0.022033357 0.12535333 0.027239515 0.64721259 3.0025732 -22.569411 -22.569411 2641.8878 2641.8878
2 1298.7923 1.9664248e-09  0.9449271 64.799628 0.021980541 0.12539941   0.0160965 0.64737705 2.9788022 -22.569411 -22.569411 2642.7234 2642.7234
4 1297.9771 2.0636116e-09 0.95246165 66.270926 0.022143508 0.12208468 0.043822661 0.67003701 3.0270427 -22.569411 -22.569411 2641.0931 2641.0931
1 1298.1061 2.2095513e-09 0.95715056  67.09912  0.02230039 0.12025172  0.08037116 0.68185483 3.0953745 -22.569411 -22.569411  2641.351  2641.351
2 1298.7239 2.2238104e-09 0.95891492 67.400635 0.022293298 0.11948307 0.084430573 0.68640251 3.1018072 -22.569411 -22.569411 2642.5867 2642.5867
2  1298.522 2.2351109e-09 0.95785142 67.212181 0.022254215 0.11983727 0.086486752 0.68394391 3.1068759 -22.569411 -22.569411 2642.1828 2642.1828
1 1298.8155 2.2328163e-09 0.95822164 67.244249 0.022236502 0.11963675 0.086459284 0.68472792 3.1058488 -22.569411 -22.569411 2642.7697 2642.7697
5 1298.1109 2.2504516e-09 0.95271751 66.010318 0.022137165 0.12269352 0.086427361 0.66604378  3.113716 -22.569411 -22.569411 2641.3605 2641.3605
3 1297.9053 2.2142501e-09 0.95158835  65.74793 0.022143673 0.12328819 0.077502726 0.66198223 3.0974989 -22.569411 -22.569411 2640.9493 2640.9493
1 1298.2255 2.2718429e-09 0.94787673 65.412959 0.022051709  0.1239472 0.089716607 0.65718625 3.1231764 -22.569411 -22.569411 2641.5898 2641.5898
1 1299.5928 2.2538793e-09 0.94664972 65.215387 0.022117077 0.12492586 0.084853309 0.65265119  3.115238 -22.569411 -22.569411 2644.3244 2644.3244
 1 1300.7903 2.2469168e-09 0.94872574  65.24628 0.022032043 0.12468114 0.084170304 0.65375463 3.1121441 -22.569411 -22.569411 2646.7194 2646.7194
 2 1301.1876 2.2711243e-09  0.9498454   65.4912 0.022048659 0.12416966 0.090164172  0.6574933 3.1228601 -22.569411 -22.569411  2647.514  2647.514
 1 1299.8168 2.3099776e-09 0.95716886 66.818529 0.022224003  0.1208207   0.1027195 0.67807395 3.1398229 -22.569411 -22.569411 2644.7725 2644.7725
 2 1300.3182 2.1840667e-09 0.95348211 66.285985 0.022224297 0.12237967 0.070235722 0.66933168 3.0837737 -22.569411 -22.569411 2645.7753 2645.7753
 1 1299.4827 2.1877817e-09 0.95123177 66.039455  0.02226418 0.12302395 0.070157394  0.6652895 3.0854732 -22.569411 -22.569411 2644.1042 2644.1042
 1 1298.9764 2.3312886e-09  0.9558668  67.38319 0.022548184 0.12067092  0.10569815 0.68306263 3.1490062 -22.569411 -22.569411 2643.0916 2643.0916
 6 1300.3105 2.2544832e-09 0.95085861 65.781746 0.022441986 0.12444804 0.083771878 0.65895994 3.1155058 -22.569411 -22.569411 2645.7598 2645.7598
 2  1299.367 2.2667031e-09 0.95211764  65.95031  0.02236207 0.12382257 0.087676749 0.66232284 3.1209115 -22.569411 -22.569411 2643.8728 2643.8728
 1  1299.007 2.2339115e-09 0.95596235 66.586006 0.022451172 0.12235361 0.082216428 0.67185188 3.1063392 -22.569411 -22.569411 2643.1528 2643.1528
 6 1298.7003 2.2450529e-09  0.9558107 66.525333 0.022458648 0.12245773 0.084976449 0.67100087 3.1113142 -22.569411 -22.569411 2642.5394 2642.5394
 3 1298.9306 2.2514295e-09 0.95469086  66.37845 0.022448746  0.1228764 0.085899244  0.6686155 3.1141504 -22.569411 -22.569411 2643.0001 2643.0001
10 1299.1761 2.3445625e-09 0.95367922  66.95068 0.022513765 0.12177259  0.10711278  0.6765735 3.1546839 -22.569411 -22.569411  2643.491  2643.491
 2 1299.8404 2.3184231e-09 0.95637252 67.320423 0.022618061 0.12120639  0.10143943 0.68113564 3.1434723 -22.569411 -22.569411 2644.8196 2644.8196
 1 1300.0452 2.3668739e-09 0.95954973 67.976144  0.02275126 0.11976703  0.11417178 0.69008445 3.1641551 -22.569411 -22.569411 2645.2293 2645.2293
 1 1299.6055 2.4132955e-09 0.95631148 67.359688 0.022617357 0.12066664  0.12363936 0.68269841 3.1835784 -22.569411 -22.569411 2644.3499 2644.3499
 2 1299.0331 2.3122882e-09 0.95181384 66.387269 0.022622374 0.12299786 0.097859597 0.66803399 3.1408227 -22.569411 -22.569411 2643.2051 2643.2051
 3 1300.1349  2.281226e-09 0.95350476 66.205717 0.022515393 0.12321454 0.090831464 0.66596056 3.1272981 -22.569411 -22.569411 2645.4087 2645.4087
 4 1300.8092 2.2755453e-09 0.96328103 67.673726 0.022552298 0.11966057 0.094305551 0.68797528 3.1248048 -22.569411 -22.569411 2646.7571 2646.7571
