#    L    TT             EE             TE             PP             TP          
     2    0.10323E+04    0.38313E-01    0.28532E+01    0.10363E+07    0.28947E+05
     3    0.97502E+03    0.55204E-01    0.33681E+01    0.15950E+07    0.34501E+05
     4    0.92025E+03    0.54192E-01    0.33007E+01    0.20918E+07    0.37105E+05
     5    0.87854E+03    0.41276E-01    0.29256E+01    0.25306E+07    0.38121E+05
     6    0.84941E+03    0.25921E-01    0.24404E+01    0.29181E+07    0.38254E+05
     7    0.83030E+03    0.14419E-01    0.19632E+01    0.32617E+07    0.37889E+05
     8    0.81822E+03    0.82707E-02    0.15567E+01    0.35677E+07    0.37233E+05
     9    0.81260E+03    0.58988E-02    0.12499E+01    0.38414E+07    0.36391E+05
    10    0.81066E+03    0.51032E-02    0.10448E+01    0.40866E+07    0.35472E+05
    11    0.81165E+03    0.45296E-02    0.93282E+00    0.43077E+07    0.34553E+05
    12    0.81599E+03    0.39802E-02    0.89519E+00    0.45066E+07    0.33642E+05
    13    0.82214E+03    0.33472E-02    0.90956E+00    0.46856E+07    0.32745E+05
    14    0.82936E+03    0.31251E-02    0.95347E+00    0.48474E+07    0.31865E+05
    15    0.83778E+03    0.32218E-02    0.10121E+01    0.49937E+07    0.30999E+05
    16    0.84757E+03    0.34075E-02    0.10746E+01    0.51260E+07    0.30141E+05
    17    0.85857E+03    0.37086E-02    0.11352E+01    0.52458E+07    0.29298E+05
    18    0.86984E+03    0.40413E-02    0.11922E+01    0.53543E+07    0.28476E+05
    19    0.88261E+03    0.44713E-02    0.12475E+01    0.54524E+07    0.27675E+05
    20    0.89553E+03    0.51268E-02    0.13012E+01    0.55405E+07    0.26895E+05
    21    0.90885E+03    0.59696E-02    0.13565E+01    0.56198E+07    0.26147E+05
    22    0.92265E+03    0.70050E-02    0.14156E+01    0.56914E+07    0.25436E+05
    23    0.93673E+03    0.82217E-02    0.14791E+01    0.57557E+07    0.24759E+05
    24    0.95119E+03    0.95782E-02    0.15462E+01    0.58133E+07    0.24109E+05
    25    0.96602E+03    0.11100E-01    0.16137E+01    0.58645E+07    0.23485E+05
    26    0.98106E+03    0.12784E-01    0.16789E+01    0.59098E+07    0.22888E+05
    27    0.99650E+03    0.14615E-01    0.17380E+01    0.59498E+07    0.22314E+05
